country,state,state_name,year,month,sentiment,Total,Negative,Neutral,Positive,LDA,NMF,LDA_0,LDA_1,LDA_2,LDA_3,LDA_4,LDA_5,LDA_6,LDA_7,LDA_8,LDA_9,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,words,freq
USA,NY,New York,2020,01,0.057683316881936515,489,94.0,204.0,191.0,8,1,70.0,97.0,37.0,29.0,5.0,16.0,45.0,27.0,134.0,29.0,38.0,131.0,70.0,35.0,97.0,26.0,38.0,9.0,20.0,25.0,['china' 'wuhan' 'people' 'new' 'like' 'case' 'flu' 'chinese' 'day' 'mask'],[91 85 44 34 26 23 23 22 20 20]
USA,NY,New York,2020,02,0.044506828138279365,1728,366.0,718.0,644.0,8,1,290.0,303.0,120.0,83.0,25.0,55.0,170.0,70.0,479.0,133.0,216.0,531.0,105.0,53.0,292.0,95.0,107.0,100.0,123.0,106.0,"['wuhan' 'people' 'china' 'new' 'like' 'trump' 'need' 'think' 'time'
 'know']",[155 140 120 102  99  89  64  61  59  56]
USA,NY,New York,2020,03,0.05493551590305761,12998,2859.0,4942.0,5197.0,8,4,1959.0,1424.0,654.0,853.0,256.0,563.0,1150.0,745.0,3592.0,1802.0,2208.0,1672.0,1652.0,615.0,3175.0,713.0,762.0,506.0,849.0,846.0,['people' 'new' 'like' 'time' 'nyc' 'york' 'need' 'day' 'home' 'know'],[1068  929  700  602  572  539  538  501  501  468]
USA,NY,New York,2020,04,0.05359268302315706,16453,3926.0,5783.0,6744.0,8,4,2681.0,876.0,958.0,1102.0,352.0,888.0,1584.0,1458.0,3725.0,2829.0,3827.0,696.0,2157.0,701.0,4250.0,953.0,931.0,974.0,1082.0,882.0,"['new' 'people' 'trump' 'york' 'nyc' 'like' 'need' 'time' 'pandemic'
 'death']",[1446 1271 1010  874  850  830  787  776  741  639]
USA,NY,New York,2020,05,0.05665352339168982,5686,1412.0,2008.0,2266.0,8,0,945.0,309.0,314.0,354.0,125.0,270.0,528.0,639.0,1244.0,958.0,1477.0,267.0,728.0,222.0,1363.0,334.0,333.0,270.0,391.0,301.0,"['new' 'people' 'york' 'nyc' 'day' 'like' 'challenge' 'pandemic' 'trump'
 'face']",[501 454 317 301 285 281 278 267 253 239]
USA,OH,Ohio,2020,01,0.06143492750635607,147,21.0,83.0,43.0,8,1,21.0,30.0,15.0,4.0,4.0,2.0,4.0,2.0,50.0,15.0,13.0,41.0,17.0,6.0,24.0,5.0,10.0,3.0,19.0,9.0,"['china' 'like' 'wuhan' 'people' 'beer' 'know' 'think' 'chinese' 'hair'
 'love']",[22 18 14 12 10  8  7  6  6  6]
USA,OH,Ohio,2020,02,0.03651279886361545,398,101.0,141.0,156.0,8,1,43.0,68.0,41.0,14.0,11.0,12.0,24.0,12.0,147.0,26.0,37.0,123.0,27.0,17.0,54.0,24.0,33.0,16.0,26.0,41.0,['people' 'beer' 'flu' 'wuhan' 'know' 'china' 'think' 'like' 'don' 'good'],[47 27 26 24 22 19 19 18 16 16]
USA,OH,Ohio,2020,03,0.07181806999992947,4581,929.0,1770.0,1882.0,8,4,617.0,493.0,246.0,302.0,75.0,188.0,421.0,232.0,1345.0,662.0,800.0,568.0,514.0,218.0,1220.0,243.0,286.0,152.0,292.0,288.0,"['people' 'like' 'ohio' 'time' 'day' 'need' 'home' 'going' 'think'
 'pandemic']",[400 238 223 223 186 181 170 169 157 152]
USA,OH,Ohio,2020,04,0.05677186045939053,5155,1121.0,2036.0,1998.0,8,4,871.0,340.0,270.0,308.0,103.0,322.0,479.0,295.0,1262.0,905.0,1198.0,256.0,551.0,213.0,1391.0,270.0,352.0,284.0,345.0,295.0,"['people' 'ohio' 'pandemic' 'like' 'trump' 'need' 'time' 'death' 'day'
 'know']",[414 322 276 254 253 227 224 211 186 186]
USA,OH,Ohio,2020,05,0.06895025540478632,1675,338.0,660.0,677.0,8,0,218.0,132.0,78.0,97.0,41.0,106.0,179.0,94.0,425.0,305.0,435.0,76.0,134.0,87.0,418.0,68.0,101.0,96.0,125.0,135.0,"['people' 'trump' 'ohio' 'know' 'need' 'time' 'day' 'pandemic' 'home'
 'like']",[142 102  97  79  75  71  69  69  68  66]
USA,OK,Oklahoma,2020,01,0.012273779461279473,48,16.0,13.0,19.0,8,1,10.0,6.0,2.0,0.0,0.0,2.0,4.0,2.0,21.0,1.0,5.0,12.0,5.0,3.0,10.0,4.0,2.0,0.0,6.0,1.0,"['china' 'wuhan' 'great' 'death' 'thing' 'allow' 'black' 'came'
 'cancelled' 'cnn']",[6 6 5 4 4 3 3 3 3 3]
USA,OK,Oklahoma,2020,02,0.015831240016022624,92,27.0,31.0,34.0,8,1,10.0,21.0,9.0,3.0,1.0,5.0,4.0,2.0,37.0,0.0,4.0,42.0,5.0,5.0,15.0,4.0,7.0,2.0,3.0,5.0,['people' 'dont' 'time' 'beer' 'dog' 'going' 'say' 'wuhan' 'china' 'didn'],[9 7 7 6 6 6 6 6 5 5]
USA,OK,Oklahoma,2020,03,0.06413041826103004,1101,218.0,454.0,429.0,8,4,188.0,123.0,51.0,92.0,18.0,42.0,71.0,41.0,339.0,136.0,203.0,134.0,131.0,53.0,243.0,71.0,69.0,29.0,81.0,87.0,['people' 'need' 'know' 'case' 'time' 'like' 'day' 'going' 'got' 'don'],[98 62 60 57 56 55 44 43 43 41]
USA,OK,Oklahoma,2020,04,0.04959556428293612,1254,280.0,461.0,513.0,8,0,213.0,86.0,85.0,81.0,25.0,57.0,95.0,74.0,329.0,209.0,345.0,56.0,118.0,64.0,295.0,62.0,100.0,48.0,103.0,63.0,"['people' 'death' 'case' 'like' 'need' 'day' 'time' 'trump' 'new'
 'pandemic']",[131  86  77  64  61  54  54  54  52  52]
USA,OK,Oklahoma,2020,05,0.037856455671699575,410,113.0,114.0,183.0,8,0,87.0,28.0,25.0,26.0,9.0,24.0,23.0,8.0,111.0,69.0,107.0,15.0,22.0,27.0,107.0,14.0,60.0,11.0,26.0,21.0,"['people' 'case' 'total' 'new' 'death' 'day' 'million' 'recovered' 'hour'
 'infection']",[69 53 44 39 36 31 30 27 25 25]
USA,OR,Oregon,2020,01,0.04981672047350013,59,7.0,34.0,18.0,0,2,23.0,1.0,13.0,0.0,0.0,2.0,1.0,2.0,14.0,3.0,2.0,4.0,19.0,3.0,8.0,8.0,4.0,1.0,6.0,4.0,"['wuhan' 'chinese' 'china' 'working' 'like' 'outbreak' 'realdonaldtrump'
 'know' 'lab' 'world']",[23 14 13 10  9  9  8  7  7  7]
USA,OR,Oregon,2020,02,0.07619114392356799,254,55.0,87.0,112.0,8,4,31.0,44.0,16.0,11.0,9.0,16.0,22.0,15.0,70.0,20.0,37.0,50.0,21.0,16.0,56.0,17.0,17.0,14.0,17.0,9.0,"['people' 'good' 'news' 'right' 'need' 'beer' 'trump' 'like' 'spread'
 'china']",[28 18 14 14 13 12 12 11 11 10]
USA,OR,Oregon,2020,03,0.060599771700482884,1838,415.0,661.0,762.0,8,4,248.0,161.0,105.0,128.0,18.0,88.0,166.0,103.0,543.0,278.0,351.0,170.0,197.0,96.0,449.0,88.0,134.0,88.0,139.0,126.0,['people' 'like' 'time' 'home' 'trump' 'stay' 'need' 'work' 'know' 'good'],[187 132  99  88  82  80  78  70  65  64]
USA,OR,Oregon,2020,04,0.058191735932510036,2022,443.0,775.0,804.0,8,4,306.0,104.0,148.0,133.0,50.0,104.0,242.0,98.0,513.0,324.0,426.0,77.0,198.0,113.0,569.0,122.0,121.0,154.0,133.0,109.0,"['people' 'trump' 'time' 'day' 'like' 'need' 'pandemic' 'know' 'new'
 'home']",[177 140 106  97  91  87  87  81  77  69]
USA,OR,Oregon,2020,05,0.03602028511758227,662,148.0,268.0,246.0,8,4,119.0,25.0,42.0,45.0,14.0,37.0,61.0,48.0,181.0,90.0,164.0,26.0,61.0,33.0,175.0,39.0,43.0,54.0,43.0,24.0,"['trump' 'people' 'like' 'realdonaldtrump' 'know' 'need' 'way' 'time'
 'want' 'day']",[72 62 34 28 27 27 27 26 26 24]
USA,PA,Pennsylvania,2020,01,0.008086471861471862,200,48.0,97.0,55.0,8,4,31.0,17.0,14.0,5.0,8.0,6.0,15.0,9.0,79.0,16.0,18.0,34.0,24.0,7.0,54.0,7.0,12.0,9.0,28.0,7.0,"['wuhan' 'china' 'like' 'day' 'people' 'make' 'don' 'know' 'case'
 'disease']",[38 34 22 18 16 15 12 12 10 10]
USA,PA,Pennsylvania,2020,02,0.020219895631291215,498,125.0,193.0,180.0,8,1,68.0,78.0,39.0,17.0,15.0,25.0,54.0,18.0,161.0,23.0,59.0,122.0,29.0,17.0,100.0,20.0,34.0,29.0,42.0,46.0,['people' 'trump' 'like' 'case' 'wuhan' 'flu' 'china' 'going' 'say' 'don'],[39 35 34 33 32 30 29 27 25 24]
USA,PA,Pennsylvania,2020,03,0.05138447622684722,4147,915.0,1647.0,1585.0,8,4,611.0,462.0,202.0,273.0,62.0,202.0,375.0,218.0,1155.0,587.0,761.0,485.0,509.0,191.0,1036.0,229.0,238.0,156.0,255.0,287.0,['people' 'like' 'stay' 'time' 'home' 'need' 'day' 'know' 'don' 'pandemic'],[320 224 176 176 172 157 156 143 140 137]
